Inter Arival Time,CPU Burst time
0.000000,11.316215
0.492699,10.115361
1.716509,16.333725
1.695448,11.693059
0.862273,0.506684
1.151048,1.225524
2.480464,19.535818
0.022140,17.477779
2.935160,5.379769
2.381805,17.619265

Inter Arival Time,CPU Burst time
0.000000,17.886425
0.464120,2.081923
0.024398,13.429405
0.677963,0.312846
1.534733,4.697383
1.653511,8.615986
0.601438,0.302466
3.266528,0.496407
0.081303,10.409201
0.434149,1.832806
0.651450,10.806245
2.036787,1.138117
0.036901,7.680524
0.144173,7.571632
0.413809,10.149338
0.577312,13.297188
0.911717,3.800056
0.262663,7.552797
0.149059,5.531200
0.933113,1.538818
0.670457,11.692269
0.677696,1.188133
0.511189,10.916669
2.473701,10.432116
2.712979,14.639941
0.488915,11.750747
1.300650,14.872957
0.439298,4.720699
2.057919,10.202715
0.486683,15.775114
4.037131,3.519528
0.790406,8.387815
1.005055,4.451412
0.226805,4.549045
0.694797,3.806255
1.189286,0.211196
0.254929,16.242668
2.659091,7.493260
1.027188,3.083870
0.109464,8.485206
0.120772,10.190296
4.436017,3.169997
1.373544,13.124817
0.929933,7.616735
1.793229,0.183027
1.774089,3.679584
1.686464,12.464151
0.505150,11.022140
0.167444,8.008011
0.250252,6.898176

Inter Arival Time,CPU Burst time
0.000000,6.311957
1.255305,4.812027
0.725315,7.515865
2.923447,11.405478
0.030408,10.308446
0.844960,8.162299
1.895920,11.731029
0.459372,12.277192
0.888227,2.141839
0.137343,5.287717
0.475477,13.414857
1.027004,4.167112
0.626947,7.690231
0.168890,17.671040
0.773108,13.010241
0.258171,9.926950
0.034431,1.147223
0.305175,9.004728
0.836556,15.813030
3.884614,8.063183
1.183781,9.000786
0.209093,9.124170
3.306721,8.858181
2.657640,8.958599
0.597753,18.833872
0.339170,3.430884
0.490236,1.406974
0.967728,2.932233
0.787665,4.489118
3.499614,18.327820
0.133516,16.051628
0.884831,16.821556
0.150837,2.993744
1.233197,5.861940
0.061467,6.236492
0.361972,4.928250
0.271928,10.150604
0.352873,15.969091
0.050783,15.453783
1.400678,10.008805
0.336273,19.174007
0.397453,6.536386
3.537208,1.037686
0.747653,9.678186
1.285958,10.071891
0.915427,3.026162
1.183447,16.260773
0.007598,3.322370
0.037939,5.674002
0.778137,18.061293
0.518236,3.109433
1.900308,7.147771
0.410909,17.041964
1.858614,12.268823
0.470271,8.044553
2.172199,6.783401
1.018951,15.717317
0.406413,7.799541
0.176981,2.788405
0.134753,2.281806
0.441517,5.483733
1.326352,18.983814
2.438740,5.155685
2.159744,0.999024
0.613357,11.490496
0.048076,2.740181
0.314653,2.049859
0.704323,7.859965
0.046425,13.004814
5.038300,11.587568
2.946679,2.406415
0.084911,8.267928
0.098460,11.690757
0.218879,14.878733
0.322959,13.545197
0.153067,7.339458
0.049724,2.468506
1.151352,0.773437
0.964287,8.629459
2.422851,18.453878
5.108834,0.832778
2.817613,14.719883
1.936712,11.082012
2.047650,1.974460
1.587741,2.708635
0.388391,5.136194
1.363368,11.932998
0.400102,3.238780
1.707971,9.471592
0.098803,18.102919
1.891238,15.278051
1.301350,2.045719
0.119490,11.765650
1.958973,5.370749
3.922030,4.591617
1.654034,0.515064
1.304659,5.018687
0.272081,8.307033
0.216813,17.814795
0.665299,0.187525

Inter Arival Time,CPU Burst time
0.000000,18.526907
0.641418,6.195618
0.688646,15.075350
0.901347,8.969328
1.509863,16.658318
0.905966,1.504813
1.393460,7.634198
3.344014,7.375439
0.659972,19.141863
1.019516,11.578100

Inter Arival Time,CPU Burst time
